id,datetime,message,message_id,category_id,repetition_datetime,repetition_count
59,1699015839000,Anmeldung an der FRITZ!Box-Benutzeroberfläche von IP-Adresse 192.168.178.2.,500,1,1698978399000,2
60,1699016483000,DSL antwortet nicht (Keine DSL-Synchronisierung).,10,2,,
61,1699016493000,Internetverbindung wurde getrennt.,23,2,,
62,1699016493000,Abmeldung der Internetrufnummer 072513919518 war nicht erfolgreich. Ursache: DNS-Fehler,75,3,,
63,1699016503000,DSL-Synchronisierung beginnt (Training).,12,2,,
64,1699016644000,DSL ist verfügbar (DSL-Synchronisierung besteht mit 69997/36999 kbit/s).,11,2,,
65,1699016651000,Anmeldung beim Internetanbieter ist fehlgeschlagen. 0014 PXYMUN25 0002797420 bad form,34,2,,
66,1699016713000,Internetverbindung IPv6: AFTR konnte nicht bezogen werden: Grund 7 (got no aftr),803,2,1699016711000,4
67,1699016714000,"Internetverbindung wurde erfolgreich hergestellt. IP-Adresse: 94.216.15.79, DNS-Server: 176.95.16.250 und 176.95.16.251, Gateway: 84.59.211.1, Breitband-PoP: BSLCOS00101",24,2,,
68,1699366335000,Anmeldung an der FRITZ!Box-Benutzeroberfläche von IP-Adresse 192.168.178.2.,500,1,1699017117000,5
69,1699409955000,DSL antwortet nicht (Keine DSL-Synchronisierung).,10,2,,
70,1699409966000,Internetverbindung wurde getrennt.,23,2,,
71,1699409966000,Abmeldung der Internetrufnummer 072513919518 war nicht erfolgreich. Ursache: DNS-Fehler,75,3,,
72,1699409970000,DSL-Synchronisierung beginnt (Training).,12,2,,
73,1699410109000,DSL ist verfügbar (DSL-Synchronisierung besteht mit 79998/36999 kbit/s).,11,2,,
74,1699410117000,Anmeldung beim Internetanbieter ist fehlgeschlagen. 0014 PXYMUN25 0006804693 bad form,34,2,,
75,1699410180000,Internetverbindung IPv6: AFTR konnte nicht bezogen werden: Grund 7 (got no aftr),803,2,1699410177000,4
76,1699410180000,"Internetverbindung wurde erfolgreich hergestellt. IP-Adresse: 2.201.91.150, DNS-Server: 176.95.16.250 und 176.95.16.251, Gateway: 84.59.211.1, Breitband-PoP: BSLCOS00101",24,2,,
77,1699411060000,Anmeldung an der FRITZ!Box-Benutzeroberfläche von IP-Adresse 192.168.178.2.,500,1,,
78,1699496249000,DSL antwortet nicht (Keine DSL-Synchronisierung).,10,2,,
79,1699496260000,Internetverbindung wurde getrennt.,23,2,,
80,1699496260000,Abmeldung der Internetrufnummer 072513919518 war nicht erfolgreich. Ursache: DNS-Fehler,75,3,,
81,1699496340000,DSL-Synchronisierung beginnt (Training).,12,2,,
82,1699496366000,Anmeldung an der FRITZ!Box-Benutzeroberfläche von IP-Adresse 192.168.178.2.,500,1,,
83,1699496480000,DSL ist verfügbar (DSL-Synchronisierung besteht mit 89999/36999 kbit/s).,11,2,,
84,1699496487000,Anmeldung beim Internetanbieter ist fehlgeschlagen. 0014 PXYMUN25 0007714456 bad form,34,2,,
85,1699496549000,Internetverbindung IPv6: AFTR konnte nicht bezogen werden: Grund 7 (got no aftr),803,2,1699496547000,4
86,1699496550000,"Internetverbindung wurde erfolgreich hergestellt. IP-Adresse: 94.216.15.42, DNS-Server: 176.95.16.250 und 176.95.16.251, Gateway: 84.59.211.1, Breitband-PoP: BSLCOS00101",24,2,,
87,1700634130000,Anmeldung an der FRITZ!Box-Benutzeroberfläche von IP-Adresse 192.168.178.2.,500,1,1699588416000,12
88,1700707009000,DSL antwortet nicht (Keine DSL-Synchronisierung).,10,2,,
89,1700707019000,Internetverbindung wurde getrennt.,23,2,,
90,1700707019000,Abmeldung der Internetrufnummer 072513919518 war nicht erfolgreich. Ursache: DNS-Fehler,75,3,,
91,1700707035000,DSL-Synchronisierung beginnt (Training).,12,2,,
92,1700707174000,DSL ist verfügbar (DSL-Synchronisierung besteht mit 99999/36999 kbit/s).,11,2,,
93,1700707181000,Anmeldung beim Internetanbieter ist fehlgeschlagen. 0014 PXYMUN25 0020259201 bad form,34,2,,
94,1700707243000,Internetverbindung IPv6: AFTR konnte nicht bezogen werden: Grund 7 (got no aftr),803,2,1700707241000,3
95,1700707244000,"Internetverbindung wurde erfolgreich hergestellt. IP-Adresse: 2.201.91.219, DNS-Server: 176.95.16.250 und 176.95.16.251, Gateway: 84.59.211.1, Breitband-PoP: BSLCOS00101",24,2,,
96,1700764043000,Anmeldung an der FRITZ!Box-Benutzeroberfläche von IP-Adresse 192.168.178.2.,500,1,,
97,1700793256000,DSL antwortet nicht (Keine DSL-Synchronisierung).,10,2,,
98,1700793266000,Internetverbindung wurde getrennt.,23,2,,
99,1700793266000,Abmeldung der Internetrufnummer 072513919518 war nicht erfolgreich. Ursache: DNS-Fehler,75,3,,
100,1700793271000,DSL-Synchronisierung beginnt (Training).,12,2,,
101,1700793409000,DSL ist verfügbar (DSL-Synchronisierung besteht mit 109996/36999 kbit/s).,11,2,,
102,1700793419000,Anmeldung beim Internetanbieter ist fehlgeschlagen. 0014 PXYMUN25 0021173035 bad form,34,2,,
103,1700793482000,Internetverbindung IPv6: AFTR konnte nicht bezogen werden: Grund 7 (got no aftr),803,2,1700793479000,4
104,1700793482000,"Internetverbindung wurde erfolgreich hergestellt. IP-Adresse: 178.0.208.110, DNS-Server: 176.95.16.250 und 176.95.16.251, Gateway: 84.59.211.1, Breitband-PoP: BSLCOS00101",24,2,,
105,1700811753000,Anmeldung an der FRITZ!Box-Benutzeroberfläche von IP-Adresse 192.168.178.2.,500,1,,
106,1700815251000,Internettelefonie mit 0725156060 über arcor.de war nicht erfolgreich. Ursache: Not Found (404),78,3,,
107,1700821962000,Anmeldung an der FRITZ!Box-Benutzeroberfläche von IP-Adresse 192.168.178.2.,500,1,,
108,1700829378000,DSL antwortet nicht (Keine DSL-Synchronisierung).,10,2,,
109,1700829387000,Internetverbindung wurde getrennt.,23,2,,
110,1700829387000,Abmeldung der Internetrufnummer 072513919518 war nicht erfolgreich. Ursache: 4.0,74,3,,
111,1700829399000,DSL-Synchronisierung beginnt (Training).,12,2,,
112,1700829538000,DSL ist verfügbar (DSL-Synchronisierung besteht mit 109996/36999 kbit/s).,11,2,,
113,1700829548000,Anmeldung beim Internetanbieter ist fehlgeschlagen. 0014 PXYMUN25 0021520690 bad form,34,2,,
114,1700829612000,Internetverbindung IPv6: AFTR konnte nicht bezogen werden: Grund 7 (got no aftr),803,2,1700829609000,4
115,1700829612000,"Internetverbindung wurde erfolgreich hergestellt. IP-Adresse: 2.201.91.200, DNS-Server: 176.95.16.250 und 176.95.16.251, Gateway: 84.59.211.1, Breitband-PoP: BSLCOS00101",24,2,,
116,1701054038000,Anmeldung an der FRITZ!Box-Benutzeroberfläche von IP-Adresse 192.168.178.2.,500,1,1700869672000,5
117,1701069361000,DSL antwortet nicht (Keine DSL-Synchronisierung).,10,2,,
118,1701069372000,Internetverbindung wurde getrennt.,23,2,,
119,1701069372000,Abmeldung der Internetrufnummer 072513919518 war nicht erfolgreich. Ursache: DNS-Fehler,75,3,,
120,1701069380000,DSL-Synchronisierung beginnt (Training).,12,2,,
121,1701069520000,DSL ist verfügbar (DSL-Synchronisierung besteht mit 109996/36999 kbit/s).,11,2,,
122,1701069527000,Anmeldung beim Internetanbieter ist fehlgeschlagen. 0014 PXYMUN25 0024095720 bad form,34,2,,
123,1701069590000,Internetverbindung IPv6: AFTR konnte nicht bezogen werden: Grund 7 (got no aftr),803,2,1701069587000,4
124,1701069590000,"Internetverbindung wurde erfolgreich hergestellt. IP-Adresse: 2.207.13.115, DNS-Server: 176.95.16.250 und 176.95.16.251, Gateway: 84.59.211.1, Breitband-PoP: BSLCOS00101",24,2,,
125,1701226841000,Anmeldung an der FRITZ!Box-Benutzeroberfläche von IP-Adresse 192.168.178.2.,500,1,1701140439000,2
126,1701257032000,DSL antwortet nicht (Keine DSL-Synchronisierung).,10,2,,
127,1701257041000,Internetverbindung wurde getrennt.,23,2,,
128,1701257041000,Abmeldung der Internetrufnummer 072513919518 war nicht erfolgreich. Ursache: DNS-Fehler,75,3,,
129,1701257052000,DSL-Synchronisierung beginnt (Training).,12,2,,
130,1701257191000,DSL ist verfügbar (DSL-Synchronisierung besteht mit 109900/36999 kbit/s).,11,2,,
131,1701257198000,Anmeldung beim Internetanbieter ist fehlgeschlagen. 0014 PXYMUN25 0026084097 bad form,34,2,,
132,1701257229000,DSL antwortet nicht (Keine DSL-Synchronisierung).,10,2,,
133,1701257248000,DSL-Synchronisierung beginnt (Training).,12,2,,
134,1701257341000,Freigabe als Exposed Host auf 192.168.178.2 (firewall) entfernt.,2063,1,,
135,1701257389000,DSL ist verfügbar (DSL-Synchronisierung besteht mit 109247/36999 kbit/s).,11,2,,
136,1701257414000,Internetverbindung IPv6: AFTR konnte nicht bezogen werden: Grund 7 (got no aftr),803,2,,
137,1701257417000,"Internetverbindung wurde erfolgreich hergestellt. IP-Adresse: 178.9.196.95, DNS-Server: 176.95.16.250 und 176.95.16.251, Gateway: 84.59.211.1, Breitband-PoP: BSLCOS00101",24,2,,
138,1701257417000,Freigabe als Exposed Host auf 192.168.178.2 (firewall) hinzugefügt.,2062,1,,
139,1701313244000,Anmeldung an der FRITZ!Box-Benutzeroberfläche von IP-Adresse 192.168.178.2.,500,1,1701263660000,2
140,1701347502000,DSL antwortet nicht (Keine DSL-Synchronisierung).,10,2,,
141,1701347511000,Internetverbindung wurde getrennt.,23,2,,
142,1701347511000,Abmeldung der Internetrufnummer 072513919518 war nicht erfolgreich. Ursache: DNS-Fehler,75,3,,
143,1701347522000,DSL-Synchronisierung beginnt (Training).,12,2,,
144,1701347662000,DSL ist verfügbar (DSL-Synchronisierung besteht mit 109996/36999 kbit/s).,11,2,,
145,1701347706000,Internetverbindung IPv6: AFTR konnte nicht bezogen werden: Grund 7 (got no aftr),803,2,,
146,1701347709000,"Internetverbindung wurde erfolgreich hergestellt. IP-Adresse: 2.207.13.215, DNS-Server: 176.95.16.250 und 176.95.16.251, Gateway: 84.59.211.1, Breitband-PoP: BSLCOS00101",24,2,,
147,1701356579000,Internettelefonie mit 0725155874 über arcor.de war nicht erfolgreich. Ursache: Temporarily not Available (480),78,3,,
148,1701384480000,DSL antwortet nicht (Keine DSL-Synchronisierung).,10,2,,
149,1701384490000,Internetverbindung wurde getrennt.,23,2,,
150,1701384490000,Abmeldung der Internetrufnummer 072513919518 war nicht erfolgreich. Ursache: DNS-Fehler,75,3,,
151,1701384499000,DSL-Synchronisierung beginnt (Training).,12,2,,
152,1701384639000,DSL ist verfügbar (DSL-Synchronisierung besteht mit 109996/36999 kbit/s).,11,2,,
153,1701384646000,Anmeldung beim Internetanbieter ist fehlgeschlagen. 0014 PXYMUN25 0027324091 bad form,34,2,,
154,1701384708000,Internetverbindung IPv6: AFTR konnte nicht bezogen werden: Grund 7 (got no aftr),803,2,1701384706000,3
155,1701384709000,"Internetverbindung wurde erfolgreich hergestellt. IP-Adresse: 92.74.184.49, DNS-Server: 176.95.16.250 und 176.95.16.251, Gateway: 84.59.211.1, Breitband-PoP: BSLCOS00101",24,2,,
156,1701399110000,DSL antwortet nicht (Keine DSL-Synchronisierung).,10,2,,
157,1701399119000,Internetverbindung wurde getrennt.,23,2,,
158,1701399119000,Abmeldung der Internetrufnummer 072513919518 war nicht erfolgreich. Ursache: DNS-Fehler,75,3,,
159,1701399130000,DSL-Synchronisierung beginnt (Training).,12,2,,
160,1701399187000,Anmeldung an der FRITZ!Box-Benutzeroberfläche von IP-Adresse 192.168.178.2.,500,1,,
161,1701399269000,DSL ist verfügbar (DSL-Synchronisierung besteht mit 109996/36999 kbit/s).,11,2,,
162,1701399277000,Anmeldung beim Internetanbieter ist fehlgeschlagen. 0014 PXYMUN25 0027618738 bad form,34,2,,
163,1701399339000,Internetverbindung IPv6: AFTR konnte nicht bezogen werden: Grund 7 (got no aftr),803,2,1701399337000,3
164,1701399339000,"Internetverbindung wurde erfolgreich hergestellt. IP-Adresse: 84.58.90.46, DNS-Server: 176.95.16.250 und 176.95.16.251, Gateway: 84.59.211.1, Breitband-PoP: BSLCOS00101",24,2,,
165,1701434458000,Anmeldung an der FRITZ!Box-Benutzeroberfläche von IP-Adresse 192.168.178.2.,500,1,1701399648000,2
166,1701460906000,DSL antwortet nicht (Keine DSL-Synchronisierung).,10,2,,
167,1701460916000,Internetverbindung wurde getrennt.,23,2,,
168,1701460916000,Anmeldung der Internetrufnummer 072513919518 war nicht erfolgreich. Ursache: DNS-Fehler,71,3,,
169,1701460916000,Abmeldung der Internetrufnummer 072513919518 war nicht erfolgreich. Ursache: DNS-Fehler,75,3,,
170,1701460949000,DSL-Synchronisierung beginnt (Training).,12,2,,
171,1701461088000,DSL ist verfügbar (DSL-Synchronisierung besteht mit 109996/36999 kbit/s).,11,2,,
172,1701461094000,Anmeldung beim Internetanbieter ist fehlgeschlagen. 0014 PXYMUN25 0028200358 bad form,34,2,,
173,1701461157000,Internetverbindung IPv6: AFTR konnte nicht bezogen werden: Grund 7 (got no aftr),803,2,1701461155000,3
174,1701461158000,"Internetverbindung wurde erfolgreich hergestellt. IP-Adresse: 92.211.143.146, DNS-Server: 176.95.16.250 und 176.95.16.251, Gateway: 84.59.211.1, Breitband-PoP: BSLCOS00101",24,2,,
175,1701572451000,Anmeldung an der FRITZ!Box-Benutzeroberfläche von IP-Adresse 192.168.178.2.,500,1,1701486047000,4
176,1701627620000,Internettelefonie mit 071427092313 über arcor.de war nicht erfolgreich. Ursache: Temporarily not Available (480),78,3,,
177,1701670563000,Anmeldung an der FRITZ!Box-Benutzeroberfläche von IP-Adresse 192.168.178.2.,500,1,1701658853000,2
178,1701703628000,Internettelefonie mit 0725155874 über arcor.de war nicht erfolgreich. Ursache: Temporarily not Available (480),78,3,,
179,1701941156000,Anmeldung an der FRITZ!Box-Benutzeroberfläche von IP-Adresse 192.168.178.2.,500,1,1701739575000,8
180,1701976488000,DSL antwortet nicht (Keine DSL-Synchronisierung).,10,2,,
181,1701976498000,Internetverbindung wurde getrennt.,23,2,,
182,1701976498000,Abmeldung der Internetrufnummer 072513919518 war nicht erfolgreich. Ursache: DNS-Fehler,75,3,,
183,1701976508000,DSL-Synchronisierung beginnt (Training).,12,2,,
184,1701976648000,DSL ist verfügbar (DSL-Synchronisierung besteht mit 109996/36999 kbit/s).,11,2,,
185,1701976655000,Anmeldung beim Internetanbieter ist fehlgeschlagen. 0014 PXYMUN18 0001569240 bad form,34,2,,
186,1701976717000,Internetverbindung IPv6: AFTR konnte nicht bezogen werden: Grund 7 (got no aftr),803,2,1701976715000,4
187,1701976718000,"Internetverbindung wurde erfolgreich hergestellt. IP-Adresse: 2.205.161.170, DNS-Server: 176.95.16.250 und 176.95.16.251, Gateway: 84.59.211.1, Breitband-PoP: BSLCOS00101",24,2,,
188,1702001296000,DSL antwortet nicht (Keine DSL-Synchronisierung).,10,2,,
189,1702001306000,Internetverbindung wurde getrennt.,23,2,,
190,1702001306000,Abmeldung der Internetrufnummer 072513919518 war nicht erfolgreich. Ursache: DNS-Fehler,75,3,,
191,1702001310000,DSL-Synchronisierung beginnt (Training).,12,2,,
192,1702001450000,DSL ist verfügbar (DSL-Synchronisierung besteht mit 99999/36999 kbit/s).,11,2,,
193,1702001457000,Anmeldung beim Internetanbieter ist fehlgeschlagen. 0014 PXYMUN18 0001786796 bad form,34,2,,
194,1702001520000,Internetverbindung IPv6: AFTR konnte nicht bezogen werden: Grund 7 (got no aftr),803,2,1702001517000,4
195,1702001520000,"Internetverbindung wurde erfolgreich hergestellt. IP-Adresse: 84.56.75.37, DNS-Server: 176.95.16.250 und 176.95.16.251, Gateway: 84.59.211.1, Breitband-PoP: BSLCOS00101",24,2,,
196,1702004463000,Anmeldung an der FRITZ!Box-Benutzeroberfläche von IP-Adresse 192.168.178.2.,500,1,,
197,1702019684000,DSL antwortet nicht (Keine DSL-Synchronisierung).,10,2,,
198,1702019693000,Internetverbindung wurde getrennt.,23,2,,
199,1702019693000,Abmeldung der Internetrufnummer 072513919518 war nicht erfolgreich. Ursache: DNS-Fehler,75,3,,
200,1702019716000,DSL-Synchronisierung beginnt (Training).,12,2,,
201,1702019856000,DSL ist verfügbar (DSL-Synchronisierung besteht mit 99999/36999 kbit/s).,11,2,,
202,1702019869000,Anmeldung beim Internetanbieter ist fehlgeschlagen. 0014 PXYMUN18 0002012695 bad form,34,2,,
203,1702019931000,Internetverbindung IPv6: AFTR konnte nicht bezogen werden: Grund 7 (got no aftr),803,2,1702019929000,3
204,1702019932000,"Internetverbindung wurde erfolgreich hergestellt. IP-Adresse: 84.56.75.37, DNS-Server: 176.95.16.250 und 176.95.16.251, Gateway: 84.59.211.1, Breitband-PoP: BSLCOS00101",24,2,,
205,1702055174000,Anmeldung an der FRITZ!Box-Benutzeroberfläche von IP-Adresse 192.168.178.2.,500,1,,
206,1702058948000,DSL antwortet nicht (Keine DSL-Synchronisierung).,10,2,,
207,1702058957000,Internetverbindung wurde getrennt.,23,2,,
208,1702058957000,Abmeldung der Internetrufnummer 072513919518 war nicht erfolgreich. Ursache: 4.0,74,3,,
209,1702058967000,DSL-Synchronisierung beginnt (Training).,12,2,,
210,1702059106000,DSL ist verfügbar (DSL-Synchronisierung besteht mit 99999/36999 kbit/s).,11,2,,
211,1702059113000,Anmeldung beim Internetanbieter ist fehlgeschlagen. 0014 PXYMUN18 0002273208 bad form,34,2,,
212,1702059175000,Internetverbindung IPv6: AFTR konnte nicht bezogen werden: Grund 7 (got no aftr),803,2,1702059173000,4
213,1702059175000,"Internetverbindung wurde erfolgreich hergestellt. IP-Adresse: 2.205.161.166, DNS-Server: 176.95.16.250 und 176.95.16.251, Gateway: 84.59.211.1, Breitband-PoP: BSLCOS00101",24,2,,
214,1702062163000,DSL antwortet nicht (Keine DSL-Synchronisierung).,10,2,,
215,1702062173000,Internetverbindung wurde getrennt.,23,2,,
216,1702062173000,Abmeldung der Internetrufnummer 072513919518 war nicht erfolgreich. Ursache: DNS-Fehler,75,3,,
217,1702062182000,DSL-Synchronisierung beginnt (Training).,12,2,,
218,1702062322000,DSL ist verfügbar (DSL-Synchronisierung besteht mit 99999/36999 kbit/s).,11,2,,
219,1702062328000,Anmeldung beim Internetanbieter ist fehlgeschlagen. 0014 PXYMUN18 0002295144 bad form,34,2,,
220,1702062391000,Internetverbindung IPv6: AFTR konnte nicht bezogen werden: Grund 7 (got no aftr),803,2,1702062388000,4
221,1702062391000,"Internetverbindung wurde erfolgreich hergestellt. IP-Adresse: 84.56.75.40, DNS-Server: 176.95.16.250 und 176.95.16.251, Gateway: 84.59.211.1, Breitband-PoP: BSLCOS00101",24,2,,
222,1702090864000,Anmeldung an der FRITZ!Box-Benutzeroberfläche von IP-Adresse 192.168.178.2.,500,1,,
223,1702096211000,DSL antwortet nicht (Keine DSL-Synchronisierung).,10,2,,
224,1702096220000,Internetverbindung wurde getrennt.,23,2,,
225,1702096220000,Abmeldung der Internetrufnummer 072513919518 war nicht erfolgreich. Ursache: DNS-Fehler,75,3,,
226,1702096230000,DSL-Synchronisierung beginnt (Training).,12,2,,
227,1702096371000,DSL ist verfügbar (DSL-Synchronisierung besteht mit 68419/36999 kbit/s).,11,2,,
228,1702096378000,Anmeldung beim Internetanbieter ist fehlgeschlagen. 0014 PXYMUN18 0002681901 bad form,34,2,,
229,1702096441000,Internetverbindung IPv6: AFTR konnte nicht bezogen werden: Grund 7 (got no aftr),803,2,1702096438000,4
230,1702096442000,"Internetverbindung wurde erfolgreich hergestellt. IP-Adresse: 178.5.14.215, DNS-Server: 176.95.16.250 und 176.95.16.251, Gateway: 84.59.211.1, Breitband-PoP: BSLCOS00101",24,2,,
231,1702300580000,Anmeldung an der FRITZ!Box-Benutzeroberfläche von IP-Adresse 192.168.178.2.,500,1,1702177269000,3
232,1702336911000,DSL antwortet nicht (Keine DSL-Synchronisierung).,10,2,,
233,1702336922000,Internetverbindung wurde getrennt.,23,2,,
234,1702336922000,Abmeldung der Internetrufnummer 072513919518 war nicht erfolgreich. Ursache: 4.0,74,3,,
235,1702336931000,DSL-Synchronisierung beginnt (Training).,12,2,,
